,,,,accuracy (test top-1 %),,,,,,,,,,,delta vs own baseline (pts),,,,,,,,,,,seeds,,,,,,,,,,,
BASELINE  [40ep],imagenet64,resnet18,baseline,5.47,13.19,18.94,27.26,32.31,37.23,42.27,45.20,47.23,,55.38,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,,3,diagin64_r18_none_1pct diagin64_r18_none_2pct diagin64_r18_none_3pct diagin64_r18_none_5pct diagin64_r18_none_7pct diagin64_r18_none_10pct diagin64_r18_none_15pct diagin64_r18_none_20pct diagin64_r18_none_25pct diagin64_r18_none
"aux(magnitude@L3,L1.0>0.0,hn)  [40ep]",imagenet64,resnet18,variant,7.37,14.78,20.33,27.82,32.73,37.30,42.26,45.39,47.15,,55.42,1.90,1.59,1.38,0.56,0.42,0.08,-0.01,0.19,-0.07,,0.04,3,3,3,3,3,3,3,3,3,,3,diagin64_r18_aux_1pct diagin64_r18_aux_2pct diagin64_r18_aux_3pct diagin64_r18_aux_5pct diagin64_r18_aux_7pct diagin64_r18_aux_10pct diagin64_r18_aux_15pct diagin64_r18_aux_20pct diagin64_r18_aux_25pct diagin64_r18_aux
"BASELINE  [adamw,40ep]",imagenet64,swin_tiny,baseline,,,,,,,,,,,5.44,,,,,,,,,,,,,,,,,,,,,,3,diagin64_swin_none
"aux(magnitude@Ls.2,L1.0>0.0,hn)  [adamw,40ep]",imagenet64,swin_tiny,variant,,,,,,,,,,,53.46,,,,,,,,,,,48.02,,,,,,,,,,,3,diagin64_swin_aux
"BASELINE  [adamw,40ep]",imagenet64,vit_tiny,baseline,1.88,2.63,3.43,5.89,7.59,9.67,13.07,16.11,18.69,,48.24,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,,3,diagin64_vit_none_1pct diagin64_vit_none_2pct diagin64_vit_none_3pct diagin64_vit_none_5pct diagin64_vit_none_7pct diagin64_vit_none_10pct diagin64_vit_none_15pct diagin64_vit_none_20pct diagin64_vit_none_25pct diagin64_vit_none
"aux(magnitude@b8,L1.0>0.0,hn)  [adamw,40ep]",imagenet64,vit_tiny,variant,4.02,6.43,8.19,11.11,13.22,15.98,19.79,22.97,26.43,,51.48,2.14,3.80,4.76,5.22,5.63,6.31,6.72,6.86,7.75,,3.24,3,3,3,3,3,3,3,3,3,,3,diagin64_vit_aux_1pct diagin64_vit_aux_2pct diagin64_vit_aux_3pct diagin64_vit_aux_5pct diagin64_vit_aux_7pct diagin64_vit_aux_10pct diagin64_vit_aux_15pct diagin64_vit_aux_20pct diagin64_vit_aux_25pct diagin64_vit_aux
BASELINE,pathmnist,mobilenetv3_small_100,baseline,75.91,80.03,80.00,84.30,86.40,87.90,86.35,89.04,85.97,88.02,84.62,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,grid_mnet_path_none_1pct grid_mnet_path_none_2pct grid_mnet_path_none_3pct grid_mnet_path_none_5pct grid_mnet_path_none_7pct grid_mnet_path_none_10pct grid_mnet_path_none_15pct grid_mnet_path_none_20pct grid_mnet_path_none_25pct grid_mnet_path_none_50pct grid_mnet_path_none_100pct
"aux(magnitude@b3,L1.0>0.0,hn)",pathmnist,mobilenetv3_small_100,variant,79.41,83.21,82.26,89.03,89.41,91.36,90.33,88.56,86.85,87.45,85.13,3.51,3.18,2.26,4.72,3.00,3.46,3.98,-0.48,0.88,-0.57,0.50,3,3,3,3,3,3,3,3,3,3,3,grid_mnet_path_aux_1pct grid_mnet_path_aux_2pct grid_mnet_path_aux_3pct grid_mnet_path_aux_5pct grid_mnet_path_aux_7pct grid_mnet_path_aux_10pct grid_mnet_path_aux_15pct grid_mnet_path_aux_20pct grid_mnet_path_aux_25pct grid_mnet_path_aux_50pct grid_mnet_path_aux_100pct
BASELINE,pathmnist,resnet18,baseline,90.01,92.25,92.65,93.53,94.21,93.79,93.20,92.36,91.43,90.94,88.23,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diagtransfer2_path_none_1pct diagtransfer2_path_none_2pct diagtransfer2_path_none_3pct diagtransfer_pathmnist_base_5pct diagtransfer2_path_none_7pct diagtransfer2_path_none_10pct diagtransfer2_path_none_15pct diagtransfer2_path_none_20pct diagtransfer2_path_none_25pct diagtransfer2_path_none_50pct diagtransfer2_path_none_100pct
BASELINE,pathmnist,resnet18,baseline,80.84,83.62,90.28,92.21,91.25,92.01,91.53,91.64,89.67,89.83,86.71,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,grid_path_r18_89e5af_1pct grid_path_r18_89e5af_2pct grid_path_r18_89e5af_3pct grid_path_r18_89e5af_5pct grid_path_r18_89e5af_7pct grid_path_r18_89e5af_10pct grid_path_r18_89e5af_15pct grid_path_r18_89e5af_20pct grid_path_r18_89e5af_25pct grid_path_r18_89e5af_50pct grid_path_r18_89e5af_100pct
"aux(magnitude3@L3,L1.0>0.0,hn)",pathmnist,resnet18,variant,86.46,90.55,92.66,93.04,93.15,93.47,92.55,91.58,89.80,88.47,85.52,5.62,6.94,2.39,0.82,1.90,1.46,1.03,-0.06,0.13,-1.36,-1.20,3,3,3,3,3,3,3,3,3,3,3,grid_mag3_path_1pct grid_mag3_path_2pct grid_mag3_path_3pct grid_mag3_pathmnist_5pct grid_mag3_path_7pct grid_mag3_path_10pct grid_mag3_path_15pct grid_mag3_path_20pct grid_mag3_pathmnist_25pct grid_mag3_path_50pct grid_mag3_path_100pct
"aux(magnitude6o@L3,L1.0>0.0,hn)",pathmnist,resnet18,variant,86.64,90.50,92.47,92.72,92.06,93.16,92.40,90.60,90.00,88.43,85.55,5.80,6.88,2.19,0.51,0.81,1.15,0.88,-1.04,0.33,-1.41,-1.17,3,3,3,3,3,3,3,3,3,3,3,grid_mag6o_path_1pct grid_mag6o_path_2pct grid_mag6o_path_3pct grid_mag6o_pathmnist_5pct grid_mag6o_path_7pct grid_mag6o_path_10pct grid_mag6o_path_15pct grid_mag6o_path_20pct grid_mag6o_pathmnist_25pct grid_mag6o_path_50pct grid_mag6o_path_100pct
"aux(magnitude@L3,L0.05>0.0,hn)",pathmnist,resnet18,variant,,,,,,93.27,,,,,,,,,,,-0.52,,,,,,,,,,,3,,,,,,diagtaxlam_path_l005_10pct
"aux(magnitude@L3,L0.1>0.0,hn)",pathmnist,resnet18,variant,,,,,,93.86,,,,,,,,,,,0.07,,,,,,,,,,,3,,,,,,diagtaxlam_path_l01_10pct
"aux(magnitude@L3,L0.3>0.0,hn)",pathmnist,resnet18,variant,,,,,,93.57,,,,,,,,,,,-0.22,,,,,,,,,,,3,,,,,,diagtaxlam_path_l03_10pct
"aux(magnitude@L3,L1.0>0.0,hn)",pathmnist,resnet18,variant,,,,,,93.37,,,,,,,,,,,-0.43,,,,,,,,,,,3,,,,,,diagtaxlam_path_delay_10pct
"aux(magnitude@L3,L1.0>0.0,hn)",pathmnist,resnet18,variant,82.86,88.79,90.09,92.00,93.09,93.38,92.67,91.27,90.03,89.07,86.14,-7.15,-3.46,-2.56,-1.53,-1.12,-0.41,-0.53,-1.09,-1.40,-1.87,-2.08,3,3,3,3,3,3,3,3,3,3,3,diagtransfer2_path_aux_1pct diagtransfer2_path_aux_2pct diagtransfer2_path_aux_3pct diagtransfer_pathmnist_aux_5pct diagtransfer2_path_aux_7pct diagtransfer2_path_aux_10pct diagtransfer2_path_aux_15pct diagtransfer2_path_aux_20pct diagtransfer2_path_aux_25pct diagtransfer2_path_aux_50pct diagtransfer2_path_aux_100pct
"aux(magnitude@L3,L1.0>0.0,hn)",pathmnist,resnet18,variant,86.45,89.99,93.08,93.32,92.96,93.75,92.67,91.34,89.49,88.74,86.72,5.62,6.37,2.80,1.10,1.71,1.74,1.15,-0.31,-0.18,-1.09,0.01,3,3,3,3,3,3,3,3,3,3,3,grid_path_r18_axmagnitudeL3_l10to00_hn_1daa80_1pct grid_path_r18_axmagnitudeL3_l10to00_hn_1daa80_2pct grid_path_r18_axmagnitudeL3_l10to00_hn_1daa80_3pct grid_path_r18_axmagnitudeL3_l10to00_hn_1daa80_5pct grid_path_r18_axmagnitudeL3_l10to00_hn_1daa80_7pct grid_path_r18_axmagnitudeL3_l10to00_hn_1daa80_10pct grid_path_r18_axmagnitudeL3_l10to00_hn_1daa80_15pct grid_path_r18_axmagnitudeL3_l10to00_hn_1daa80_20pct grid_path_r18_axmagnitudeL3_l10to00_hn_1daa80_25pct grid_path_r18_axmagnitudeL3_l10to00_hn_1daa80_50pct grid_path_r18_axmagnitudeL3_l10to00_hn_1daa80_100pct
simclr-init,pathmnist,resnet18,variant,88.16,90.38,92.84,93.28,93.72,94.28,93.03,91.85,91.35,90.86,87.58,7.33,6.76,2.56,1.07,2.47,2.27,1.50,0.21,1.68,1.03,0.86,3,3,3,3,3,3,3,3,3,3,3,diaggrid_simclr_path_1pct diaggrid_simclr_path_2pct diaggrid_simclr_path_3pct diaggrid_simclr_path_5pct diaggrid_simclr_path_7pct diaggrid_simclr_path_10pct diaggrid_simclr_path_15pct diaggrid_simclr_path_20pct diaggrid_simclr_path_25pct diaggrid_simclr_path_50pct diaggrid_simclr_path_100pct
simclr-init,pathmnist,resnet18,variant,,,,93.28,,94.28,,,91.35,,87.58,,,,1.07,,2.27,,,1.68,,0.86,,,,3,,3,,,3,,3,diaggrid_ssl_pathmnist_5pct diaggrid_ssl_pathmnist_10pct diaggrid_ssl_pathmnist_25pct diaggrid_ssl_pathmnist_100pct
simsiam-init,pathmnist,resnet18,variant,79.64,83.90,90.37,91.72,92.27,91.61,93.15,91.84,89.52,90.89,88.24,-1.20,0.28,0.09,-0.49,1.02,-0.40,1.62,0.20,-0.15,1.06,1.53,3,3,3,3,3,3,3,3,3,3,3,diaggrid_simsiam_path_1pct diaggrid_simsiam_path_2pct diaggrid_simsiam_path_3pct diaggrid_simsiam_path_5pct diaggrid_simsiam_path_7pct diaggrid_simsiam_path_10pct diaggrid_simsiam_path_15pct diaggrid_simsiam_path_20pct diaggrid_simsiam_path_25pct diaggrid_simsiam_path_50pct diaggrid_simsiam_path_100pct
BASELINE,pathmnist,resnet34,baseline,,,,91.58,,92.55,,,90.40,,,,,,,,,,,,,,,,,3,,3,,,3,,,diagdepth_r34_path_none_5pct diagdepth_r34_path_none_10pct diagdepth_r34_path_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",pathmnist,resnet34,variant,,,,93.22,,93.67,,,91.29,,,,,,1.64,,1.12,,,0.88,,,,,,3,,3,,,3,,,diagdepth_r34_path_aux_5pct diagdepth_r34_path_aux_10pct diagdepth_r34_path_aux_25pct
BASELINE,pathmnist,resnet50,baseline,,,,91.77,,91.88,,,88.86,,,,,,,,,,,,,,,,,3,,3,,,3,,,diagdepth_r50_path_none_5pct diagdepth_r50_path_none_10pct diagdepth_r50_path_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",pathmnist,resnet50,variant,,,,93.18,,93.92,,,88.83,,,,,,1.41,,2.03,,,-0.04,,,,,,3,,3,,,3,,,diagdepth_r50_path_aux_5pct diagdepth_r50_path_aux_10pct diagdepth_r50_path_aux_25pct
BASELINE  [adamw],pathmnist,swin_tiny,baseline,65.52,57.98,68.94,56.85,36.98,66.57,50.94,78.09,59.33,58.45,83.24,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_swin_path_none_1pct diaggrid_swin_path_none_2pct diaggrid_swin_path_none_3pct diaggrid_swin_path_none_5pct diaggrid_swin_path_none_7pct diaggrid_swin_path_none_10pct diaggrid_swin_path_none_15pct diaggrid_swin_path_none_20pct diaggrid_swin_path_none_25pct diaggrid_swin_path_none_50pct diaggrid_swin_path_none_100pct
"aux(magnitude@Ls.2,L1.0>0.0,hn)  [adamw]",pathmnist,swin_tiny,variant,77.10,84.04,85.87,88.88,92.20,92.68,91.84,91.44,91.69,91.51,91.27,11.58,26.06,16.93,32.03,55.21,26.11,40.90,13.35,32.36,33.06,8.03,3,3,3,3,3,3,3,3,3,3,3,diaggrid_swin_path_aux_1pct diaggrid_swin_path_aux_2pct diaggrid_swin_path_aux_3pct diaggrid_swin_path_aux_5pct diaggrid_swin_path_aux_7pct diaggrid_swin_path_aux_10pct diaggrid_swin_path_aux_15pct diaggrid_swin_path_aux_20pct diaggrid_swin_path_aux_25pct diaggrid_swin_path_aux_50pct diaggrid_swin_path_aux_100pct
BASELINE  [adamw],pathmnist,vit_tiny,baseline,70.98,74.73,73.72,76.83,79.13,79.62,80.32,80.97,79.66,81.71,82.11,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_vit_path_none_1pct diaggrid_vit_path_none_2pct diaggrid_vit_path_none_3pct diaggrid_vit_pathmnist_none_5pct diaggrid_vit_path_none_7pct diaggrid_vit_path_none_10pct diaggrid_vit_path_none_15pct diaggrid_vit_path_none_20pct diaggrid_vit_pathmnist_none_25pct diaggrid_vit_path_none_50pct diaggrid_vit_path_none_100pct
deit-aug  [adamw],pathmnist,vit_tiny,baseline,74.34,79.08,78.84,81.12,82.93,84.32,87.95,88.83,88.00,91.29,90.04,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_deit_path_none_1pct diaggrid_deit_path_none_2pct diaggrid_deit_path_none_3pct diaggrid_deit_path_none_5pct diaggrid_deit_path_none_7pct diaggrid_deit_path_none_10pct diaggrid_deit_path_none_15pct diaggrid_deit_path_none_20pct diaggrid_deit_path_none_25pct diaggrid_deit_path_none_50pct diaggrid_deit_path_none_100pct
"aux(magnitude@b8,L1.0>0.0,hn)  [adamw]",pathmnist,vit_tiny,variant,78.57,81.01,85.21,86.31,87.38,87.13,88.34,88.46,87.50,87.79,86.17,7.59,6.29,11.49,9.48,8.25,7.51,8.02,7.49,7.84,6.08,4.07,3,3,3,3,3,3,3,3,3,3,3,diaggrid_vit_path_aux_1pct diaggrid_vit_path_aux_2pct diaggrid_vit_path_aux_3pct diaggrid_vit_pathmnist_aux_5pct diaggrid_vit_path_aux_7pct diaggrid_vit_path_aux_10pct diaggrid_vit_path_aux_15pct diaggrid_vit_path_aux_20pct diaggrid_vit_pathmnist_aux_25pct diaggrid_vit_path_aux_50pct diaggrid_vit_path_aux_100pct
"aux(magnitude@b8,L1.0>0.0,hn) + deit-aug  [adamw]",pathmnist,vit_tiny,variant,80.46,88.31,89.31,91.44,92.22,93.41,93.77,93.72,93.64,93.97,92.94,6.12,9.23,10.47,10.32,9.29,9.09,5.81,4.88,5.64,2.68,2.91,3,3,3,3,3,3,3,3,3,3,3,diaggrid_deit_path_aux_1pct diaggrid_deit_path_aux_2pct diaggrid_deit_path_aux_3pct diaggrid_deit_path_aux_5pct diaggrid_deit_path_aux_7pct diaggrid_deit_path_aux_10pct diaggrid_deit_path_aux_15pct diaggrid_deit_path_aux_20pct diaggrid_deit_path_aux_25pct diaggrid_deit_path_aux_50pct diaggrid_deit_path_aux_100pct
dino-init  [adamw],pathmnist,vit_tiny,variant,75.14,79.92,79.99,83.31,87.21,87.53,88.57,88.95,87.86,88.77,87.52,4.16,5.19,6.27,6.48,8.08,7.91,8.25,7.98,8.20,7.06,5.41,3,3,3,3,3,3,3,3,3,3,3,diaggrid_dino_path_1pct diaggrid_dino_path_2pct diaggrid_dino_path_3pct diaggrid_dino_path_5pct diaggrid_dino_path_7pct diaggrid_dino_path_10pct diaggrid_dino_path_15pct diaggrid_dino_path_20pct diaggrid_dino_path_25pct diaggrid_dino_path_50pct diaggrid_dino_path_100pct
BASELINE,so2sat_all,resnet18,baseline,60.75,67.33,,73.40,,77.52,,,79.47,,,,,,,,,,,,,,3,3,,3,,3,,,3,,,sf_so2sat_all_none_1pct sf_so2sat_all_none_2pct sf_so2sat_all_none_5pct sf_so2sat_all_none_10pct sf_so2sat_all_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",so2sat_all,resnet18,variant,60.89,68.84,,74.75,,77.92,,,79.05,,,0.14,1.51,,1.35,,0.40,,,-0.42,,,3,3,,3,,3,,,3,,,sf_so2sat_all_aux_1pct sf_so2sat_all_aux_2pct sf_so2sat_all_aux_5pct sf_so2sat_all_aux_10pct sf_so2sat_all_aux_25pct
BASELINE,so2sat_opt,resnet18,baseline,61.32,67.46,,74.13,,77.63,,,79.47,,,,,,,,,,,,,,3,3,,3,,3,,,3,,,sf_so2sat_opt_none_1pct sf_so2sat_opt_none_2pct sf_so2sat_opt_none_5pct sf_so2sat_opt_none_10pct sf_so2sat_opt_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",so2sat_opt,resnet18,variant,62.44,69.37,,75.32,,78.31,,,78.91,,,1.13,1.91,,1.19,,0.68,,,-0.56,,,3,3,,3,,3,,,3,,,sf_so2sat_opt_aux_1pct sf_so2sat_opt_aux_2pct sf_so2sat_opt_aux_5pct sf_so2sat_opt_aux_10pct sf_so2sat_opt_aux_25pct
BASELINE,so2sat_sar,resnet18,baseline,35.00,33.69,,43.52,,49.12,,,53.49,,,,,,,,,,,,,,3,3,,3,,3,,,3,,,sf_so2sat_sar_none_1pct sf_so2sat_sar_none_2pct sf_so2sat_sar_none_5pct sf_so2sat_sar_none_10pct sf_so2sat_sar_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",so2sat_sar,resnet18,variant,36.24,30.60,,46.11,,48.65,,,53.25,,,1.24,-3.09,,2.59,,-0.46,,,-0.24,,,3,3,,3,,3,,,3,,,sf_so2sat_sar_aux_1pct sf_so2sat_sar_aux_2pct sf_so2sat_sar_aux_5pct sf_so2sat_sar_aux_10pct sf_so2sat_sar_aux_25pct
BASELINE,stl10,mobilenetv3_small_100,baseline,n/a (<1 batch),n/a (<1 batch),30.41,32.50,36.96,41.41,45.30,49.33,52.05,66.35,77.38,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,grid_mnet_stl_none_3pct grid_mnet_stl_none_5pct grid_mnet_stl_none_7pct grid_mnet_stl_none_10pct grid_mnet_stl_none_15pct grid_mnet_stl_none_20pct grid_mnet_stl_none_25pct grid_mnet_stl_none_50pct grid_mnet_stl_none_100pct
"aux(magnitude@b3,L1.0>0.0,hn)",stl10,mobilenetv3_small_100,variant,n/a (<1 batch),n/a (<1 batch),30.69,33.90,39.78,45.45,50.60,54.76,55.63,69.00,79.14,,,0.28,1.40,2.82,4.04,5.29,5.44,3.59,2.65,1.76,,,3,3,3,3,3,3,3,3,3,grid_mnet_stl_aux_3pct grid_mnet_stl_aux_5pct grid_mnet_stl_aux_7pct grid_mnet_stl_aux_10pct grid_mnet_stl_aux_15pct grid_mnet_stl_aux_20pct grid_mnet_stl_aux_25pct grid_mnet_stl_aux_50pct grid_mnet_stl_aux_100pct
BASELINE,stl10,resnet18,baseline,n/a (<1 batch),n/a (<1 batch),39.90,47.23,50.12,58.01,68.07,76.18,81.95,90.60,94.67,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,diagtransfer2_stl_none_3pct diagtransfer2_stl_none_5pct diagtransfer2_stl_none_7pct diagtransfer2_stl_none_10pct diagtransfer2_stl_none_15pct diagtransfer2_stl_none_20pct diagtransfer2_stl_none_25pct diagtransfer2_stl_none_50pct diagtransfer2_stl_none_100pct
BASELINE,stl10,resnet18,baseline,n/a (<1 batch),n/a (<1 batch),27.01,30.56,34.20,41.58,48.75,54.16,58.33,73.22,84.27,,,0.00,0.00,0.00,,0.00,,0.00,,0.00,,,3,3,3,3,3,3,3,3,3,grid_stl_r18_57b62b_3pct grid_stl_r18_57b62b_5pct grid_stl_r18_57b62b_7pct stl_none_10pct grid_stl_r18_57b62b_15pct stl_none_20pct grid_stl_r18_57b62b_25pct stl_none_50pct grid_stl_r18_57b62b_100pct
BASELINE,stl10,resnet18,baseline,n/a (<1 batch),n/a (<1 batch),27.01,30.56,34.20,41.50,48.75,54.08,58.33,73.45,84.27,,,,,,-0.09,,-0.08,,0.23,,,,3,3,3,3,3,3,3,3,3,grid_stl_r18_9016e6_3pct grid_stl_r18_9016e6_5pct grid_stl_r18_9016e6_7pct grid_stl_r18_9016e6_10pct grid_stl_r18_9016e6_15pct grid_stl_r18_9016e6_20pct grid_stl_r18_9016e6_25pct grid_stl_r18_9016e6_50pct stl10_none
"aux(magnitude3@L3,L1.0>0.0,hn)",stl10,resnet18,variant,n/a (<1 batch),n/a (<1 batch),29.69,32.89,39.78,47.45,54.04,58.55,63.52,76.20,85.16,,,2.68,2.33,5.59,5.86,5.29,4.39,5.19,2.98,0.89,,,3,3,3,3,3,3,3,3,3,grid_mag3_stl_3pct grid_mag3_stl_5pct grid_mag3_stl_7pct grid_mag3_stl_10pct grid_mag3_stl_15pct grid_mag3_stl_20pct grid_mag3_stl_25pct grid_mag3_stl_50pct grid_mag3_stl_100pct
"aux(magnitude6o@L3,L1.0>0.0,hn)",stl10,resnet18,variant,n/a (<1 batch),n/a (<1 batch),29.93,32.62,39.38,47.35,54.36,58.60,63.25,76.43,85.51,,,2.93,2.07,5.18,5.77,5.60,4.44,4.92,3.21,1.24,,,3,3,3,3,3,3,3,3,3,grid_mag6o_stl_3pct grid_mag6o_stl_5pct grid_mag6o_stl_7pct grid_mag6o_stl_10pct grid_mag6o_stl_15pct grid_mag6o_stl_20pct grid_mag6o_stl_25pct grid_mag6o_stl_50pct grid_mag6o_stl_100pct
"aux(magnitude@L3,L1.0>0.0)",stl10,resnet18,variant,n/a (<1 batch),n/a (<1 batch),29.72,33.08,39.24,47.51,54.10,58.52,63.10,76.39,85.13,,,2.72,2.52,5.05,5.92,5.35,4.36,4.77,3.18,0.86,,,3,3,3,3,3,3,3,3,3,grid_stl_r18_axmagnitudeL3_l10to00_3ebf19_3pct grid_stl_r18_axmagnitudeL3_l10to00_3ebf19_5pct grid_stl_r18_axmagnitudeL3_l10to00_3ebf19_7pct stl_aux_10pct grid_stl_r18_axmagnitudeL3_l10to00_3ebf19_15pct stl_aux_20pct grid_stl_r18_axmagnitudeL3_l10to00_3ebf19_25pct stl_aux_50pct grid_stl_r18_axmagnitudeL3_l10to00_3ebf19_100pct
"aux(magnitude@L3,L1.0>0.0,hn)",stl10,resnet18,variant,n/a (<1 batch),n/a (<1 batch),16.33,24.03,34.41,43.10,48.20,54.34,58.22,70.45,82.98,,,-23.56,-23.20,-15.71,-14.90,-19.87,-21.84,-23.73,-20.14,-11.69,,,3,3,3,3,3,3,3,3,3,diagtransfer2_stl_aux_3pct diagtransfer2_stl_aux_5pct diagtransfer2_stl_aux_7pct diagtransfer2_stl_aux_10pct diagtransfer2_stl_aux_15pct diagtransfer2_stl_aux_20pct diagtransfer2_stl_aux_25pct diagtransfer2_stl_aux_50pct diagtransfer2_stl_aux_100pct
"aux(magnitude@L3,L1.0>0.0,hn) + simclr-init",stl10,resnet18,variant,n/a (<1 batch),n/a (<1 batch),,,,54.45,,,,,,,,,,,12.87,,,,,,,,,,,3,,,,,,diagprosp_simclraux_stl_10pct
simclr-init,stl10,resnet18,variant,n/a (<1 batch),n/a (<1 batch),29.90,34.34,45.48,52.80,59.38,65.40,70.89,80.54,88.24,,,2.89,3.78,11.28,11.22,10.63,11.25,12.56,7.33,3.97,,,3,3,3,3,3,3,3,3,3,diaggrid_simclr_stl_3pct diaggrid_simclr_stl_5pct diaggrid_simclr_stl_7pct diaggrid_simclr_stl_10pct diaggrid_simclr_stl_15pct diaggrid_simclr_stl_20pct diaggrid_simclr_stl_25pct diaggrid_simclr_stl_50pct diaggrid_simclr_stl_100pct
simsiam-init,stl10,resnet18,variant,n/a (<1 batch),n/a (<1 batch),26.31,30.49,33.80,41.78,48.99,54.73,57.90,74.38,84.32,,,-0.70,-0.07,-0.40,0.19,0.24,0.58,-0.42,1.17,0.05,,,3,3,3,3,3,3,3,3,3,diaggrid_simsiam_stl_3pct diaggrid_simsiam_stl_5pct diaggrid_simsiam_stl_7pct diaggrid_simsiam_stl_10pct diaggrid_simsiam_stl_15pct diaggrid_simsiam_stl_20pct diaggrid_simsiam_stl_25pct diaggrid_simsiam_stl_50pct diaggrid_simsiam_stl_100pct
"stem(moments-cat,k11) + kw(use_zernike=False)",stl10,resnet18,variant,n/a (<1 batch),n/a (<1 batch),31.08,35.91,40.66,48.25,52.71,56.22,61.26,72.53,82.77,,,4.07,5.35,6.47,6.67,3.96,2.06,2.94,-0.68,-1.50,,,3,3,3,3,3,3,3,3,3,grid_stl_r18_stmomentscatk11_kw03e54b_1c75c5_3pct grid_stl_r18_stmomentscatk11_kw03e54b_1c75c5_5pct grid_stl_r18_stmomentscatk11_kw03e54b_1c75c5_7pct grid_stl_r18_stmomentscatk11_kw03e54b_1c75c5_10pct grid_stl_r18_stmomentscatk11_kw03e54b_1c75c5_15pct grid_stl_r18_stmomentscatk11_kw03e54b_1c75c5_20pct grid_stl_r18_stmomentscatk11_kw03e54b_1c75c5_25pct grid_stl_r18_stmomentscatk11_kw03e54b_1c75c5_50pct stl10_gaboronly_calib
BASELINE,stl10,resnet34,baseline,n/a (<1 batch),n/a (<1 batch),,30.88,,41.80,,,58.65,,,,,,,,,,,,,,,,,3,,3,,,3,,,diagdepth_r34_stl_none_5pct diagdepth_r34_stl_none_10pct diagdepth_r34_stl_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",stl10,resnet34,variant,n/a (<1 batch),n/a (<1 batch),,33.49,,49.07,,,64.60,,,,,,2.61,,7.28,,,5.96,,,,,,3,,3,,,3,,,diagdepth_r34_stl_aux_5pct diagdepth_r34_stl_aux_10pct diagdepth_r34_stl_aux_25pct
BASELINE,stl10,resnet50,baseline,n/a (<1 batch),n/a (<1 batch),,28.75,,37.20,,,55.26,,,,,,,,,,,,,,,,,3,,3,,,3,,,diagdepth_r50_stl_none_5pct diagdepth_r50_stl_none_10pct diagdepth_r50_stl_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",stl10,resnet50,variant,n/a (<1 batch),n/a (<1 batch),,31.13,,45.06,,,60.47,,,,,,2.39,,7.86,,,5.21,,,,,,3,,3,,,3,,,diagdepth_r50_stl_aux_5pct diagdepth_r50_stl_aux_10pct diagdepth_r50_stl_aux_25pct
BASELINE  [adamw],stl10,swin_tiny,baseline,n/a (<1 batch),n/a (<1 batch),21.05,19.88,22.15,20.68,25.70,20.26,15.35,17.76,14.01,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,diaggrid_swin_stl_none_3pct diaggrid_swin_stl_none_5pct diaggrid_swin_stl_none_7pct diaggrid_swin_stl_none_10pct diaggrid_swin_stl_none_15pct diaggrid_swin_stl_none_20pct diaggrid_swin_stl_none_25pct diaggrid_swin_stl_none_50pct diaggrid_swin_stl_none_100pct
"aux(magnitude@Ls.2,L1.0>0.0,hn)  [adamw]",stl10,swin_tiny,variant,n/a (<1 batch),n/a (<1 batch),26.21,29.09,32.78,39.75,42.01,49.85,49.43,57.55,51.96,,,5.16,9.21,10.62,19.08,16.32,29.59,34.08,39.79,37.95,,,3,3,3,3,3,3,3,3,3,diaggrid_swin_stl_aux_3pct diaggrid_swin_stl_aux_5pct diaggrid_swin_stl_aux_7pct diaggrid_swin_stl_aux_10pct diaggrid_swin_stl_aux_15pct diaggrid_swin_stl_aux_20pct diaggrid_swin_stl_aux_25pct diaggrid_swin_stl_aux_50pct diaggrid_swin_stl_aux_100pct
BASELINE  [adamw],stl10,vit_tiny,baseline,n/a (<1 batch),n/a (<1 batch),24.35,29.50,30.28,32.02,33.18,35.10,37.77,45.33,54.99,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,diaggrid_vit_stl_none_3pct diaggrid_vit_stl_none_5pct diaggrid_vit_stl_none_7pct diaggrid_vit_stl_none_10pct diaggrid_vit_stl_none_15pct diaggrid_vit_stl_none_20pct diaggrid_vit_stl_none_25pct diaggrid_vit_stl_none_50pct diaggrid_vit_stl_none_100pct
